time	pCa	hs_length	force	passive_force	a_fil_length	m_fil_length	a_pop_0	a_pop_1	m_pop_0	m_pop_1	m_pop_2	c_pop_0	c_pop_1
0.151	6.200	1150	9834.26	686.752	1015.9	809.011	0.717421	0.282579	0.478738	0.489178	0.0320835	1	0
0.152	6.200	1150	9910.64	686.75	1015.9	809.011	0.719593	0.280407	0.476566	0.490969	0.0324646	1	0
0.153	6.200	1150	10148.8	686.744	1015.9	809.012	0.719593	0.280407	0.476071	0.490626	0.0333029	1	0
0.154	6.200	1150	10335.2	686.74	1015.9	809.012	0.714106	0.285894	0.475004	0.491122	0.0338744	1	0
0.155	6.200	1150	10391.5	686.738	1015.9	809.012	0.710105	0.289895	0.473365	0.49257	0.0340649	1	0
0.156	6.200	1150	10665.1	686.731	1015.9	809.012	0.71262	0.28738	0.472756	0.492227	0.0350175	1	0
0.157	6.200	1150	10647.7	686.733	1015.9	809.012	0.710334	0.289666	0.471193	0.493827	0.0349794	1	0
0.158	6.200	1150	10754.5	686.729	1015.9	809.012	0.710448	0.289552	0.469364	0.495351	0.0352843	1	0
0.159	6.200	1150	10724	686.73	1015.9	809.012	0.713535	0.286465	0.467002	0.497866	0.0351318	1	0
0.16	6.200	1150	10907.7	686.726	1015.9	809.012	0.710562	0.289438	0.466316	0.497942	0.0357415	1	0
0.161	6.200	1150	11027	686.723	1015.9	809.012	0.709991	0.290009	0.465668	0.498171	0.0361606	1	0
0.162	6.200	1150	11018.4	686.724	1015.9	809.012	0.711248	0.288752	0.464678	0.499124	0.0361988	1	0
0.163	6.200	1150	11185	686.719	1015.9	809.013	0.709648	0.290352	0.464411	0.498819	0.0367703	1	0
0.164	6.200	1150	11204.3	686.719	1015.9	809.013	0.710105	0.289895	0.463763	0.49939	0.0368465	1	0
0.165	6.200	1150	11249.3	686.717	1015.9	809.013	0.711134	0.288866	0.463687	0.499314	0.0369989	1	0
0.166	6.200	1150	11355.2	686.715	1015.9	809.013	0.709762	0.290238	0.463192	0.499428	0.03738	1	0
0.167	6.200	1150	11385.8	686.714	1015.9	809.013	0.708505	0.291495	0.462734	0.499695	0.0375705	1	0
0.168	6.200	1150	11356.6	686.714	1015.9	809.013	0.70439	0.29561	0.461744	0.500762	0.0374943	1	0
0.169	6.200	1150	11496.7	686.711	1015.9	809.013	0.706333	0.293667	0.461629	0.500343	0.0380277	1	0
0.17	6.200	1150	11707.6	686.706	1015.9	809.013	0.701189	0.298811	0.459534	0.501715	0.0387517	1	0
0.171	6.200	1150	11785.2	686.704	1015.9	809.013	0.701532	0.298468	0.457933	0.503048	0.0390184	1	0
0.172	6.200	1150	11882.2	686.701	1015.9	809.013	0.695473	0.304527	0.457743	0.502858	0.0393995	1	0
0.173	6.200	1150	12014	686.699	1015.91	809.014	0.696502	0.303498	0.457628	0.502439	0.0399329	1	0
0.174	6.200	1150	12003.7	686.698	1015.91	809.014	0.692044	0.307956	0.457209	0.502896	0.0398948	1	0
0.175	6.200	1150	11961.2	686.699	1015.91	809.014	0.690329	0.309671	0.456219	0.504039	0.0397424	1	0
0.176	6.200	1150	12100.8	686.696	1015.91	809.014	0.686786	0.313214	0.456371	0.503429	0.0401997	1	0
0.177	6.200	1150	12161.5	686.694	1015.91	809.014	0.682785	0.317215	0.45618	0.503315	0.0405045	1	0
0.178	6.200	1150	12135.7	686.696	1015.91	809.014	0.683471	0.316529	0.455571	0.504001	0.0404283	1	0
0.179	6.200	1150	12267.4	686.692	1015.91	809.014	0.683699	0.316301	0.455914	0.503163	0.0409236	1	0
0.18	6.200	1150	12153.1	686.695	1015.91	809.014	0.683471	0.316529	0.454733	0.504725	0.0405426	1	0
0.181	6.200	1150	12206.6	686.693	1015.91	809.014	0.677298	0.322702	0.454466	0.504801	0.0407331	1	0
0.182	6.200	1150	12270.4	686.692	1015.91	809.014	0.676497	0.323503	0.454161	0.504877	0.0409617	1	0
0.183	6.200	1150	12448.3	686.688	1015.91	809.014	0.67684	0.32316	0.453666	0.504839	0.0414952	1	0
0.184	6.200	1150	12665.2	686.683	1015.91	809.014	0.674554	0.325446	0.452599	0.505182	0.0422192	1	0
0.185	6.200	1150	12665.6	686.682	1015.91	809.014	0.677755	0.322245	0.453208	0.504649	0.042143	1	0
0.186	6.200	1150	12568.4	686.684	1015.91	809.014	0.679813	0.320187	0.452599	0.505639	0.0417619	1	0
0.187	6.200	1150	12648.4	686.682	1015.91	809.014	0.67947	0.32053	0.451532	0.50644	0.0420287	1	0
0.188	6.200	1150	12717.9	686.681	1015.91	809.014	0.673525	0.326475	0.450732	0.507049	0.0422192	1	0
0.189	6.200	1150	12864.9	686.677	1015.91	809.015	0.671582	0.328418	0.45157	0.505639	0.0427907	1	0
0.19	6.200	1150	12857.3	686.677	1015.91	809.015	0.671925	0.328075	0.451189	0.506059	0.0427526	1	0
0.191	6.200	1150	12785.4	686.679	1015.91	809.014	0.670553	0.329447	0.45077	0.506706	0.042524	1	0
0.192	6.200	1150	12822.8	686.678	1015.91	809.014	0.671696	0.328304	0.449855	0.507545	0.0426002	1	0
0.193	6.200	1150	12992.8	686.674	1015.91	809.015	0.672954	0.327046	0.450312	0.506554	0.0431337	1	0
0.194	6.200	1150	12983.5	686.674	1015.91	809.015	0.675697	0.324303	0.44955	0.507316	0.0431337	1	0
0.195	6.200	1150	13102	686.671	1015.91	809.015	0.672497	0.327503	0.450312	0.506135	0.0435528	1	0
0.196	6.200	1150	13182.1	686.669	1015.91	809.015	0.671811	0.328189	0.448712	0.50743	0.0438576	1	0
0.197	6.200	1150	13157.3	686.669	1015.91	809.015	0.671353	0.328647	0.448255	0.507964	0.0437814	1	0
0.198	6.200	1150	13324.1	686.665	1015.91	809.015	0.671811	0.328189	0.448331	0.507354	0.0443149	1	0
0.199	6.200	1150	13314.5	686.666	1015.91	809.015	0.671239	0.328761	0.447836	0.507964	0.0442006	1	0
0.2	6.200	1150	13397.1	686.664	1015.91	809.015	0.668839	0.331161	0.446807	0.508688	0.0445054	1	0
0.201	6.200	1150	13405.5	686.665	1015.91	809.015	0.666209	0.333791	0.445549	0.509869	0.0445816	1	0
0.202	6.200	1150	13487.5	686.664	1015.91	809.015	0.66278	0.33722	0.445054	0.510021	0.0449246	1	0
0.203	6.200	1150	13569.1	686.663	1015.91	809.015	0.659236	0.340764	0.444635	0.510174	0.0451913	1	0
0.204	6.200	1150	13713.1	686.659	1015.91	809.015	0.664266	0.335734	0.44494	0.509374	0.0456866	1	0
0.205	6.200	1150	13782.9	686.657	1015.91	809.015	0.657865	0.342135	0.443263	0.510707	0.0460296	1	0
0.206	6.200	1150	13745.8	686.657	1015.91	809.015	0.655807	0.344193	0.442577	0.511507	0.0459153	1	0
0.207	6.200	1150	13864.1	686.655	1015.91	809.015	0.653064	0.346936	0.44212	0.511622	0.0462582	1	0
0.208	6.200	1150	14068.5	686.65	1015.91	809.016	0.653178	0.346822	0.440863	0.512117	0.0470203	1	0
0.209	6.200	1150	14037.3	686.65	1015.91	809.016	0.64449	0.35551	0.440482	0.512574	0.0469441	1	0
0.21	6.200	1150	14049.7	686.65	1015.91	809.016	0.650434	0.349566	0.440177	0.512727	0.0470965	1	0
0.211	6.200	1150	14227.1	686.646	1015.91	809.016	0.652721	0.347279	0.440596	0.511698	0.0477061	1	0
0.212	6.200	1150	14243	686.645	1015.91	809.016	0.655464	0.344536	0.439491	0.512689	0.0478205	1	0
0.213	6.200	1150	14234.5	686.645	1015.91	809.016	0.654435	0.345565	0.438386	0.513794	0.0478205	1	0
0.214	6.200	1150	14313.1	686.643	1015.91	809.016	0.653635	0.346365	0.438653	0.513336	0.048011	1	0
0.215	6.200	1150	14442.9	686.64	1015.91	809.016	0.654321	0.345679	0.437662	0.513984	0.0483539	1	0
0.216	6.200	1150	14487.2	686.64	1015.91	809.016	0.651806	0.348194	0.438234	0.513298	0.0484682	1	0
0.217	6.200	1150	14465.3	686.64	1015.91	809.016	0.653864	0.346136	0.43709	0.514441	0.0484682	1	0
0.218	6.200	1150	14466.5	686.64	1015.91	809.016	0.647005	0.352995	0.437128	0.514441	0.0484301	1	0
0.219	6.200	1150	14680	686.635	1015.91	809.016	0.644262	0.355738	0.435947	0.514937	0.049116	1	0
0.22	6.200	1150	14848	686.63	1015.91	809.016	0.647462	0.352538	0.4369	0.513374	0.0497257	1	0
0.221	6.200	1150	14964.6	686.628	1015.91	809.017	0.649177	0.350823	0.436976	0.512765	0.0502591	1	0
0.222	6.200	1150	14890.1	686.63	1015.91	809.016	0.643461	0.356539	0.435642	0.514365	0.0499924	1	0
0.223	6.200	1150	15168	686.625	1015.91	809.017	0.643233	0.356767	0.434652	0.514518	0.0508307	1	0
0.224	6.200	1150	15206.9	686.624	1015.91	809.017	0.647119	0.352881	0.434156	0.514861	0.0509831	1	0
0.225	6.200	1150	15230.4	686.625	1015.91	809.017	0.642318	0.357682	0.435338	0.513679	0.0509831	1	0
0.226	6.200	1150	15221.8	686.625	1015.91	809.016	0.640375	0.359625	0.434194	0.514822	0.0509831	1	0
0.227	6.200	1150	15211.8	686.625	1015.91	809.016	0.646205	0.353795	0.433966	0.515051	0.0509831	1	0
0.228	6.200	1150	15280.4	686.624	1015.91	809.016	0.639918	0.360082	0.432899	0.515813	0.0512879	1	0
0.229	6.200	1150	15311.1	686.624	1015.91	809.016	0.644147	0.355853	0.432365	0.516308	0.051326	1	0
