time	pCa	hs_length	force	titin_force	extracellular_force	a_fil_length	m_fil_length	a_pop_0	a_pop_1	m_pop_0	m_pop_1	m_pop_2	c_pop_0	c_pop_1
0.214	4.500	950	36056.4	1850.3	0	1015.95	809.045	0.162551	0.837449	0.139232	0.76406	0.0967078	0.962963	0.037037
0.215	4.500	950	35648.2	1850.25	0	1015.95	809.046	0.15535	0.84465	0.153635	0.751029	0.0953361	0.97037	0.0296296
0.216	4.500	950	36093.3	1850.23	0	1015.95	809.046	0.157407	0.842593	0.151578	0.752401	0.0960219	0.966667	0.0333333
0.217	4.500	950	35848.4	1850.27	0	1015.95	809.045	0.187243	0.812757	0.157064	0.748285	0.0946502	0.966667	0.0333333
0.218	4.500	950	35018	1850.34	0	1015.95	809.045	0.173868	0.826132	0.163237	0.74417	0.0925926	0.962963	0.037037
0.219	4.500	950	34922.4	1850.4	0	1015.95	809.044	0.165638	0.834362	0.14952	0.758573	0.0919067	0.962963	0.037037
0.22	4.500	950	34672.7	1850.41	0	1015.95	809.044	0.171811	0.828189	0.156379	0.752743	0.0908779	0.962963	0.037037
0.221	4.500	950	34919.5	1850.41	0	1015.95	809.044	0.159465	0.840535	0.137174	0.770919	0.0919067	0.97037	0.0296296
0.222	4.500	950	34637.8	1850.37	0	1015.95	809.045	0.166667	0.833333	0.146091	0.762689	0.0912209	0.981481	0.0185185
0.223	4.500	950	33295.6	1850.56	0	1015.94	809.042	0.173868	0.826132	0.144033	0.768519	0.0874486	0.974074	0.0259259
